	sniff_time	dest_ip	dest_port
0	2018-03-18 13:21:51.237798	90	SSH
1	2018-03-18 13:21:51.237986	60	TCP
2	2018-03-18 13:21:51.238632	90	SSH
3	2018-03-18 13:21:51.238749	98	SSH
4	2018-03-18 13:21:51.238800	60	TCP
5	2018-03-18 13:21:51.238885	90	SSH
6	2018-03-18 13:21:51.238995	60	TCP
7	2018-03-18 13:21:51.239001	60	TCP
8	2018-03-18 13:21:51.851355	90	SSH
9	2018-03-18 13:21:51.851511	90	SSH
10	2018-03-18 13:21:51.851623	60	TCP
11	2018-03-18 13:21:52.013774	88	DNS
12	2018-03-18 13:21:52.031954	93	DNS
13	2018-03-18 13:21:52.217683	90	SSH
14	2018-03-18 13:21:52.217900	90	SSH
15	2018-03-18 13:21:52.218138	60	TCP
16	2018-03-18 13:21:53.034562	88	DNS
17	2018-03-18 13:21:53.050511	93	DNS
18	2018-03-18 13:21:53.483598	198	SSH
19	2018-03-18 13:21:53.520191	54	TCP
20	2018-03-18 13:21:54.052148	88	DNS
21	2018-03-18 13:21:54.068427	93	DNS
22	2018-03-18 13:21:55.068838	88	DNS
23	2018-03-18 13:21:55.083043	93	DNS
24	2018-03-18 13:21:56.084064	88	DNS
25	2018-03-18 13:21:56.100277	93	DNS
26	2018-03-18 13:21:57.103274	88	DNS
27	2018-03-18 13:21:57.119268	93	DNS
28	2018-03-18 13:21:58.120046	88	DNS
29	2018-03-18 13:21:58.138889	99	DNS
30	2018-03-18 13:21:58.139050	234	SSH
31	2018-03-18 13:21:58.139195	60	TCP
32	2018-03-18 13:21:59.141493	88	DNS
33	2018-03-18 13:21:59.155560	99	DNS
34	2018-03-18 13:21:59.155701	90	SSH
35	2018-03-18 13:21:59.155859	60	TCP
36	2018-03-18 13:21:59.801304	90	SSH
37	2018-03-18 13:21:59.801323	54	TCP
38	2018-03-18 13:21:59.801504	90	SSH
39	2018-03-18 13:21:59.801661	60	TCP
40	2018-03-18 13:21:59.812099	98	SSH
41	2018-03-18 13:21:59.812261	60	TCP
42	2018-03-18 13:22:02.329428	90	SSH
43	2018-03-18 13:22:02.329665	90	SSH
44	2018-03-18 13:22:02.329802	60	TCP
