	sniff_time	dest_ip	dest_port
0	2018-03-18 12:41:40.952762	58	TCP
1	2018-03-18 12:41:40.952817	58	TCP
2	2018-03-18 12:41:40.952939	54	TCP
3	2018-03-18 12:41:40.952944	766	HTTP
4	2018-03-18 12:41:40.952983	54	TCP
5	2018-03-18 12:41:41.053331	7354	TCP
6	2018-03-18 12:41:41.053442	1754	TCP
7	2018-03-18 12:41:41.053574	54	TCP
8	2018-03-18 12:41:41.053580	54	TCP
9	2018-03-18 12:41:41.053583	54	TCP
10	2018-03-18 12:41:41.053585	54	TCP
11	2018-03-18 12:41:41.053587	54	TCP
12	2018-03-18 12:41:41.053589	54	TCP
13	2018-03-18 12:41:41.053592	54	TCP
14	2018-03-18 12:41:41.053671	525	TCP
15	2018-03-18 12:41:41.053751	54	TCP
16	2018-03-18 12:41:41.056015	459	DATA-TEXT-LINES
17	2018-03-18 12:41:41.056201	54	TCP
18	2018-03-18 12:41:41.081545	703	HTTP
19	2018-03-18 12:41:41.081603	54	TCP
20	2018-03-18 12:41:41.083664	5023	TCP
21	2018-03-18 12:41:41.083876	59	DATA-TEXT-LINES
22	2018-03-18 12:41:41.084384	54	TCP
23	2018-03-18 12:41:41.084393	54	TCP
24	2018-03-18 12:41:41.084396	54	TCP
25	2018-03-18 12:41:41.084398	54	TCP
26	2018-03-18 12:41:41.084401	54	TCP
27	2018-03-18 12:41:43.605212	765	HTTP
28	2018-03-18 12:41:43.606702	211	HTTP
29	2018-03-18 12:41:43.606958	54	TCP
30	2018-03-18 12:41:43.610774	780	HTTP
31	2018-03-18 12:41:43.644613	7354	TCP
32	2018-03-18 12:41:43.644783	1754	TCP
33	2018-03-18 12:41:43.644849	54	TCP
34	2018-03-18 12:41:43.644855	54	TCP
35	2018-03-18 12:41:43.644857	54	TCP
36	2018-03-18 12:41:43.644859	54	TCP
37	2018-03-18 12:41:43.644975	54	TCP
38	2018-03-18 12:41:43.644979	54	TCP
39	2018-03-18 12:41:43.645023	525	TCP
40	2018-03-18 12:41:43.645127	54	TCP
41	2018-03-18 12:41:43.649155	459	DATA-TEXT-LINES
42	2018-03-18 12:41:43.649601	54	TCP
43	2018-03-18 12:41:43.678907	717	HTTP
44	2018-03-18 12:41:43.680480	5023	TCP
45	2018-03-18 12:41:43.680721	54	TCP
46	2018-03-18 12:41:43.680727	54	TCP
47	2018-03-18 12:41:43.680731	54	TCP
48	2018-03-18 12:41:43.680853	59	DATA-TEXT-LINES
49	2018-03-18 12:41:43.681890	54	TCP
50	2018-03-18 12:41:45.960085	42	ARP
51	2018-03-18 12:41:45.960107	42	ARP
52	2018-03-18 12:41:46.801015	854	HTTP
53	2018-03-18 12:41:46.839973	54	TCP
54	2018-03-18 12:41:47.434008	7354	TCP
55	2018-03-18 12:41:47.434150	1754	TCP
56	2018-03-18 12:41:47.434278	928	TCP
57	2018-03-18 12:41:47.434389	54	TCP
58	2018-03-18 12:41:47.434396	54	TCP
59	2018-03-18 12:41:47.434399	54	TCP
60	2018-03-18 12:41:47.434402	54	TCP
61	2018-03-18 12:41:47.434404	54	TCP
62	2018-03-18 12:41:47.434406	54	TCP
63	2018-03-18 12:41:47.434409	54	TCP
64	2018-03-18 12:41:47.434607	54	TCP
65	2018-03-18 12:41:47.455466	459	DATA-TEXT-LINES
66	2018-03-18 12:41:47.456627	54	TCP
67	2018-03-18 12:41:52.048495	851	HTTP
68	2018-03-18 12:41:52.048577	54	TCP
69	2018-03-18 12:41:52.406106	7354	TCP
70	2018-03-18 12:41:52.406210	1754	TCP
71	2018-03-18 12:41:52.406303	54	TCP
72	2018-03-18 12:41:52.406310	54	TCP
73	2018-03-18 12:41:52.406313	54	TCP
74	2018-03-18 12:41:52.406315	54	TCP
75	2018-03-18 12:41:52.406317	54	TCP
76	2018-03-18 12:41:52.406319	54	TCP
77	2018-03-18 12:41:52.406395	499	TCP
78	2018-03-18 12:41:52.406458	54	TCP
79	2018-03-18 12:41:52.407464	54	TCP
80	2018-03-18 12:41:52.411073	459	DATA-TEXT-LINES
81	2018-03-18 12:41:52.411273	54	TCP
82	2018-03-18 12:41:52.431239	762	HTTP
83	2018-03-18 12:41:52.431260	58	TCP
84	2018-03-18 12:41:52.431328	54	TCP
85	2018-03-18 12:41:52.431457	58	TCP
86	2018-03-18 12:41:52.432476	54	TCP
87	2018-03-18 12:41:52.432486	739	HTTP
88	2018-03-18 12:41:52.432554	54	TCP
89	2018-03-18 12:41:52.434156	1379	TCP
90	2018-03-18 12:41:52.434341	54	TCP
91	2018-03-18 12:41:52.434500	59	DATA-TEXT-LINES
92	2018-03-18 12:41:52.434786	54	TCP
93	2018-03-18 12:41:52.441058	5023	TCP
94	2018-03-18 12:41:52.441323	59	DATA-TEXT-LINES
95	2018-03-18 12:41:52.442464	54	TCP
96	2018-03-18 12:41:52.442472	54	TCP
97	2018-03-18 12:41:52.442475	54	TCP
98	2018-03-18 12:41:52.442478	54	TCP
99	2018-03-18 12:41:52.442481	54	TCP
100	2018-03-18 12:41:56.704589	838	HTTP
101	2018-03-18 12:41:56.746076	54	TCP
102	2018-03-18 12:41:57.589270	7354	TCP
103	2018-03-18 12:41:57.589374	1754	TCP
104	2018-03-18 12:41:57.589431	54	TCP
105	2018-03-18 12:41:57.589437	54	TCP
106	2018-03-18 12:41:57.589482	54	TCP
107	2018-03-18 12:41:57.589485	54	TCP
108	2018-03-18 12:41:57.589486	54	TCP
109	2018-03-18 12:41:57.589488	54	TCP
110	2018-03-18 12:41:57.589490	54	TCP
111	2018-03-18 12:41:57.589560	1599	TCP
112	2018-03-18 12:41:57.589664	54	TCP
113	2018-03-18 12:41:57.589669	54	TCP
114	2018-03-18 12:41:57.598533	459	DATA-TEXT-LINES
115	2018-03-18 12:41:57.603282	54	TCP
116	2018-03-18 12:41:57.615981	749	HTTP
117	2018-03-18 12:41:57.615989	726	HTTP
118	2018-03-18 12:41:57.616046	54	TCP
119	2018-03-18 12:41:57.624890	5023	TCP
120	2018-03-18 12:41:57.625069	59	DATA-TEXT-LINES
121	2018-03-18 12:41:57.625395	54	TCP
122	2018-03-18 12:41:57.625402	54	TCP
123	2018-03-18 12:41:57.625404	54	TCP
124	2018-03-18 12:41:57.626450	54	TCP
125	2018-03-18 12:41:57.632270	1379	TCP
126	2018-03-18 12:41:57.632467	59	DATA-TEXT-LINES
127	2018-03-18 12:41:57.632649	54	TCP
128	2018-03-18 12:41:57.632655	54	TCP
129	2018-03-18 12:42:02.304678	843	HTTP
130	2018-03-18 12:42:02.347978	54	TCP
131	2018-03-18 12:42:02.752090	7354	TCP
132	2018-03-18 12:42:02.752209	1754	TCP
133	2018-03-18 12:42:02.752343	54	TCP
134	2018-03-18 12:42:02.752347	54	TCP
135	2018-03-18 12:42:02.752349	54	TCP
136	2018-03-18 12:42:02.752350	54	TCP
137	2018-03-18 12:42:02.752351	54	TCP
138	2018-03-18 12:42:02.752504	54	TCP
139	2018-03-18 12:42:02.752507	54	TCP
140	2018-03-18 12:42:02.758613	6424	TCP
141	2018-03-18 12:42:02.759316	54	TCP
142	2018-03-18 12:42:02.759324	54	TCP
143	2018-03-18 12:42:02.759327	54	TCP
144	2018-03-18 12:42:02.759329	54	TCP
145	2018-03-18 12:42:02.759332	54	TCP
146	2018-03-18 12:42:02.775065	778	HTTP
147	2018-03-18 12:42:02.789445	4132	PNG
148	2018-03-18 12:42:02.789689	54	TCP
149	2018-03-18 12:42:02.789696	54	TCP
150	2018-03-18 12:42:02.792394	783	HTTP
151	2018-03-18 12:42:02.798007	1542	PNG
152	2018-03-18 12:42:02.798278	54	TCP
153	2018-03-18 12:42:02.801480	783	HTTP
154	2018-03-18 12:42:02.806881	2654	PNG
155	2018-03-18 12:42:02.807084	54	TCP
156	2018-03-18 12:42:02.809691	781	HTTP
157	2018-03-18 12:42:02.813676	58	TCP
158	2018-03-18 12:42:02.813842	58	TCP
159	2018-03-18 12:42:02.813956	58	TCP
160	2018-03-18 12:42:02.813960	54	TCP
161	2018-03-18 12:42:02.814007	58	TCP
162	2018-03-18 12:42:02.814215	54	TCP
163	2018-03-18 12:42:02.814221	58	TCP
164	2018-03-18 12:42:02.814258	58	TCP
