	sniff_time	dest_ip	dest_port
0	2019-03-27 21:34:25.177278	55	TLS
1	2019-03-27 21:34:25.193878	66	TCP
2	2019-03-27 21:34:27.062089	55	TLS
3	2019-03-27 21:34:27.069729	66	TCP
4	2019-03-27 21:34:28.170020	55	TCP
5	2019-03-27 21:34:28.178199	66	TCP
6	2019-03-27 21:34:28.405356	74	DNS
7	2019-03-27 21:34:28.411492	338	DNS
8	2019-03-27 21:34:28.413376	75	DNS
9	2019-03-27 21:34:28.414141	85	DNS
10	2019-03-27 21:34:28.415393	346	DNS
11	2019-03-27 21:34:28.417688	385	DNS
12	2019-03-27 21:34:28.430326	1392	GQUIC
13	2019-03-27 21:34:28.433687	1392	GQUIC
14	2019-03-27 21:34:28.437258	1392	GQUIC
15	2019-03-27 21:34:28.439416	75	DNS
16	2019-03-27 21:34:28.441251	346	DNS
17	2019-03-27 21:34:28.446862	1392	GQUIC
18	2019-03-27 21:34:28.446863	73	GQUIC
19	2019-03-27 21:34:28.447479	81	GQUIC
20	2019-03-27 21:34:28.447668	70	GQUIC
21	2019-03-27 21:34:28.452090	1392	GQUIC
22	2019-03-27 21:34:28.452092	73	GQUIC
23	2019-03-27 21:34:28.452787	81	GQUIC
24	2019-03-27 21:34:28.452981	70	GQUIC
25	2019-03-27 21:34:28.453389	1392	GQUIC
26	2019-03-27 21:34:28.453392	73	GQUIC
27	2019-03-27 21:34:28.453999	81	GQUIC
28	2019-03-27 21:34:28.454166	70	GQUIC
29	2019-03-27 21:34:28.478437	62	GQUIC
30	2019-03-27 21:34:28.484587	62	GQUIC
31	2019-03-27 21:34:28.484588	62	GQUIC
32	2019-03-27 21:34:28.918548	1120	GQUIC
33	2019-03-27 21:34:28.944432	412	GQUIC
34	2019-03-27 21:34:28.950014	62	GQUIC
35	2019-03-27 21:34:28.971426	222	GQUIC
36	2019-03-27 21:34:28.971426	58	GQUIC
37	2019-03-27 21:34:28.972017	70	GQUIC
38	2019-03-27 21:34:28.994716	1392	GQUIC
39	2019-03-27 21:34:28.994717	1392	GQUIC
40	2019-03-27 21:34:28.994717	1392	GQUIC
41	2019-03-27 21:34:28.994719	1392	GQUIC
42	2019-03-27 21:34:28.994720	1392	GQUIC
43	2019-03-27 21:34:28.994721	85	GQUIC
44	2019-03-27 21:34:28.994721	1392	GQUIC
45	2019-03-27 21:34:28.994722	1392	GQUIC
46	2019-03-27 21:34:28.994722	1392	GQUIC
47	2019-03-27 21:34:28.994723	1392	GQUIC
48	2019-03-27 21:34:28.994723	1392	GQUIC
49	2019-03-27 21:34:28.994890	1186	GQUIC
50	2019-03-27 21:34:28.995154	70	GQUIC
51	2019-03-27 21:34:28.995302	70	GQUIC
52	2019-03-27 21:34:28.995404	70	GQUIC
53	2019-03-27 21:34:28.995501	70	GQUIC
54	2019-03-27 21:34:28.995596	70	GQUIC
55	2019-03-27 21:34:28.995690	70	GQUIC
56	2019-03-27 21:34:28.995747	1392	GQUIC
57	2019-03-27 21:34:28.995748	1392	GQUIC
58	2019-03-27 21:34:28.995749	1392	GQUIC
59	2019-03-27 21:34:28.995750	1392	GQUIC
60	2019-03-27 21:34:28.995751	1392	GQUIC
61	2019-03-27 21:34:28.995751	1392	GQUIC
62	2019-03-27 21:34:28.996041	70	GQUIC
63	2019-03-27 21:34:28.996138	70	GQUIC
64	2019-03-27 21:34:28.996222	70	GQUIC
65	2019-03-27 21:34:28.998212	1392	GQUIC
66	2019-03-27 21:34:28.998213	1392	GQUIC
67	2019-03-27 21:34:28.998214	1392	GQUIC
68	2019-03-27 21:34:28.998216	1392	GQUIC
69	2019-03-27 21:34:28.998217	1392	GQUIC
70	2019-03-27 21:34:28.998217	1392	GQUIC
71	2019-03-27 21:34:28.998218	460	GQUIC
72	2019-03-27 21:34:28.998218	1392	GQUIC
73	2019-03-27 21:34:28.998219	1392	GQUIC
74	2019-03-27 21:34:28.998220	1392	GQUIC
75	2019-03-27 21:34:28.998220	1392	GQUIC
76	2019-03-27 21:34:28.998221	1392	GQUIC
77	2019-03-27 21:34:28.998715	70	GQUIC
78	2019-03-27 21:34:28.998860	70	GQUIC
79	2019-03-27 21:34:28.998962	70	GQUIC
80	2019-03-27 21:34:28.999082	70	GQUIC
81	2019-03-27 21:34:28.999134	1392	GQUIC
82	2019-03-27 21:34:28.999135	1392	GQUIC
83	2019-03-27 21:34:28.999135	1392	GQUIC
84	2019-03-27 21:34:28.999180	70	GQUIC
85	2019-03-27 21:34:28.999313	70	GQUIC
86	2019-03-27 21:34:28.999473	70	GQUIC
87	2019-03-27 21:34:29.000174	1392	GQUIC
88	2019-03-27 21:34:29.000175	1392	GQUIC
89	2019-03-27 21:34:29.000176	1392	GQUIC
90	2019-03-27 21:34:29.000178	1392	GQUIC
91	2019-03-27 21:34:29.000179	460	GQUIC
92	2019-03-27 21:34:29.000179	1392	GQUIC
93	2019-03-27 21:34:29.000851	70	GQUIC
94	2019-03-27 21:34:29.000981	70	GQUIC
95	2019-03-27 21:34:29.001080	83	GQUIC
96	2019-03-27 21:34:29.001083	1392	GQUIC
97	2019-03-27 21:34:29.001084	1392	GQUIC
98	2019-03-27 21:34:29.001085	1392	GQUIC
99	2019-03-27 21:34:29.001087	1392	GQUIC
100	2019-03-27 21:34:29.001088	1392	GQUIC
101	2019-03-27 21:34:29.001089	537	GQUIC
102	2019-03-27 21:34:29.001200	70	GQUIC
103	2019-03-27 21:34:29.001297	70	GQUIC
104	2019-03-27 21:34:29.001398	70	GQUIC
105	2019-03-27 21:34:29.005886	263	GQUIC
106	2019-03-27 21:34:29.005887	1392	GQUIC
107	2019-03-27 21:34:29.005888	1392	GQUIC
108	2019-03-27 21:34:29.005888	1392	GQUIC
109	2019-03-27 21:34:29.005890	428	GQUIC
110	2019-03-27 21:34:29.006098	70	GQUIC
111	2019-03-27 21:34:29.006239	70	GQUIC
112	2019-03-27 21:34:29.006343	70	GQUIC
113	2019-03-27 21:34:29.007051	181	GQUIC
114	2019-03-27 21:34:29.037633	63	GQUIC
115	2019-03-27 21:34:29.037646	70	GQUIC
116	2019-03-27 21:34:29.056499	429	GQUIC
117	2019-03-27 21:34:29.080309	340	GQUIC
118	2019-03-27 21:34:29.086554	85	GQUIC
119	2019-03-27 21:34:29.086556	59	GQUIC
120	2019-03-27 21:34:29.086830	70	GQUIC
121	2019-03-27 21:34:29.110708	85	GQUIC
122	2019-03-27 21:34:29.110709	59	GQUIC
123	2019-03-27 21:34:29.110951	70	GQUIC
124	2019-03-27 21:34:29.230134	391	GQUIC
125	2019-03-27 21:34:29.263565	63	GQUIC
126	2019-03-27 21:34:29.269512	732	GQUIC
127	2019-03-27 21:34:29.274152	62	GQUIC
128	2019-03-27 21:34:29.274155	112	GQUIC
129	2019-03-27 21:34:29.274709	70	GQUIC
130	2019-03-27 21:34:29.293565	202	GQUIC
131	2019-03-27 21:34:29.316375	151	GQUIC
132	2019-03-27 21:34:29.316378	59	GQUIC
133	2019-03-27 21:34:29.317344	70	GQUIC
134	2019-03-27 21:34:29.426378	249	GQUIC
135	2019-03-27 21:34:29.458822	63	GQUIC
136	2019-03-27 21:34:29.476881	650	GQUIC
137	2019-03-27 21:34:29.486485	62	GQUIC
138	2019-03-27 21:34:29.486486	74	GQUIC
139	2019-03-27 21:34:29.486813	70	GQUIC
140	2019-03-27 21:34:29.513611	70	GQUIC
141	2019-03-27 21:34:29.568458	234	GQUIC
142	2019-03-27 21:34:29.601572	63	GQUIC
143	2019-03-27 21:34:29.614804	593	GQUIC
144	2019-03-27 21:34:29.614806	62	GQUIC
145	2019-03-27 21:34:29.614807	76	GQUIC
146	2019-03-27 21:34:29.615329	70	GQUIC
147	2019-03-27 21:34:29.641904	70	GQUIC
148	2019-03-27 21:34:29.898356	236	GQUIC
149	2019-03-27 21:34:29.932563	63	GQUIC
150	2019-03-27 21:34:29.939891	594	GQUIC
151	2019-03-27 21:34:29.944060	62	GQUIC
152	2019-03-27 21:34:29.944062	269	GQUIC
153	2019-03-27 21:34:29.945142	70	GQUIC
154	2019-03-27 21:34:29.974657	70	GQUIC
155	2019-03-27 21:34:30.168288	236	GQUIC
156	2019-03-27 21:34:30.197694	55	TCP
157	2019-03-27 21:34:30.201009	63	GQUIC
158	2019-03-27 21:34:30.212976	66	TCP
159	2019-03-27 21:34:30.213978	454	GQUIC
160	2019-03-27 21:34:30.215129	62	GQUIC
161	2019-03-27 21:34:30.215130	222	GQUIC
162	2019-03-27 21:34:30.215960	70	GQUIC
163	2019-03-27 21:34:30.243747	70	GQUIC
164	2019-03-27 21:34:30.515918	237	GQUIC
165	2019-03-27 21:34:30.547954	63	GQUIC
166	2019-03-27 21:34:30.560841	347	GQUIC
167	2019-03-27 21:34:30.560845	62	GQUIC
168	2019-03-27 21:34:30.562478	267	GQUIC
169	2019-03-27 21:34:30.563551	70	GQUIC
170	2019-03-27 21:34:30.592430	70	GQUIC
171	2019-03-27 21:34:30.963176	213	GQUIC
172	2019-03-27 21:34:30.995766	63	GQUIC
173	2019-03-27 21:34:31.001151	1314	GQUIC
174	2019-03-27 21:34:31.001154	300	GQUIC
175	2019-03-27 21:34:31.003799	70	GQUIC
176	2019-03-27 21:34:31.349033	54	TCP
177	2019-03-27 21:34:31.351545	82	DNS
178	2019-03-27 21:34:31.359318	147	DNS
179	2019-03-27 21:34:31.359320	56	VSSMONITORING
180	2019-03-27 21:34:31.359494	54	TCP
181	2019-03-27 21:34:31.361728	92	NBNS
182	2019-03-27 21:34:31.363826	86	LLMNR
183	2019-03-27 21:34:31.366667	66	LLMNR
184	2019-03-27 21:34:31.367709	98	NBNS
185	2019-03-27 21:34:31.367894	92	NBNS
